┌─────────────────────────┬─────────────────────────┬─────────────────────────┬──────────────────────────┬─────────────────────────┐
│Time                     │JobId                    │Node List                │ CPU                      │ Partition               │
│─────────────────────────┼─────────────────────────┼─────────────────────────┼──────────────────────────┼─────────────────────────│
│2022-06-01T09:10:34.641  │42806                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T09:11:17.689  │42807                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T09:16:23.309  │42808                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T09:16:56.360  │42809                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:01:26.899  │42812                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:01:56.938  │42813                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:02:31.275  │42814                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:02:47.298  │42815                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:38:04.154  │42816                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:38:46.210  │42817                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:39:01.232  │42818                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:39:15.254  │42819                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-01T10:39:45.296  │42820                    │cpu01                    │ 3                        │ cpu-opteron             │
│2022-06-01T10:39:58.316  │42821                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T12:36:25.308  │42823                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T13:01:00.020  │42824                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T15:16:09.266  │42837                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-01T15:18:56.605  │42844                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-02T00:39:32.454  │42886                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-02T00:40:37.531  │42887                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-02T00:41:52.638  │42888                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-02T00:42:55.829  │42889                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-02T00:59:22.555  │42892                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-02T01:10:55.210  │42894                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-02T01:16:02.738  │42895                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-02T01:29:25.212  │42896                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-02T01:30:12.278  │42897                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-02T15:50:11.616  │42924                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T15:53:38.981  │42925                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T16:58:13.232  │42928                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T17:02:32.832  │42929                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T17:07:29.390  │42930                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T17:10:17.632  │42931                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-04T02:40:45.094  │42979                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-04T05:20:33.781  │42983                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:46:46.851  │43074                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:54:44.724  │43075                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:56:54.915  │43077                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:57:48.100  │43078                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T14:41:56.020  │43085                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T17:41:26.617  │43110                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-06T17:42:17.669  │43111                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-06T17:44:41.971  │43113                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-06T17:45:48.067  │43114                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-06T19:00:39.392  │43116                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T01:27:13.939  │43129                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-07T01:29:18.193  │43131                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-07T01:31:12.359  │43132                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-07T01:37:20.101  │43135                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T09:42:48.700  │43145                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-07T09:52:51.742  │43150                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-07T12:49:03.539  │43175                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:50:36.677  │43176                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:52:00.798  │43177                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:53:56.082  │43178                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:57:25.431  │43179                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T13:00:08.705  │43180                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T13:02:37.028  │43185                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T14:02:47.803  │43188                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T14:24:28.206  │43192                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:24:58.236  │43193                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:25:22.272  │43194                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:25:59.325  │43195                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:27:25.570  │43196                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:27:39.630  │43197                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:30:25.876  │43198                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:35:29.443  │43199                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:38:05.772  │43201                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T20:57:25.510  │43212                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T21:08:22.762  │43213                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T21:36:41.893  │43214                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T23:30:51.807  │43217                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-08T00:04:14.097  │43219                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T00:11:35.824  │43220                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T01:39:52.365  │43223                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T01:59:40.465  │43225                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T13:02:06.991  │43240                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-08T13:12:09.159  │43244                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T13:59:51.652  │43245                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T14:02:01.807  │43246                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T17:27:44.571  │43251                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T19:45:06.986  │43253                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-09T00:33:20.246  │43257                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-09T00:52:55.394  │43259                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T00:53:13.421  │43260                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T10:26:22.434  │43263                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-09T12:08:00.086  │43272                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T12:57:25.611  │43276                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T13:28:48.831  │43278                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:32:58.366  │43281                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:33:16.393  │43282                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:35:21.573  │43283                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:39:32.038  │43284                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T13:47:56.047  │43288                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:50:08.239  │43290                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T15:40:17.861  │43295                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T15:41:49.992  │43296                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:41:21.229  │43353                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-10T01:42:31.500  │43354                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-10T10:59:12.241  │43365                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T13:00:22.835  │43372                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:27:05.174  │43375                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:22.612  │43380                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:29.622  │43381                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T23:18:42.970  │43391                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-11T13:56:16.080  │43455                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-11T22:46:29.471  │43479                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-11T22:51:52.908  │43480                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-12T15:51:21.899  │43524                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-13T15:52:45.323  │43649                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-13T15:54:18.450  │43651                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-13T15:56:46.652  │43652                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-13T16:23:19.472  │43655                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-13T17:31:35.756  │43660                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T08:32:11.756  │43720                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T10:19:48.735  │43734                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T10:20:32.215  │43736                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T11:36:50.501  │43747                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T12:07:04.699  │43748                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T12:51:30.583  │43755                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T14:22:04.515  │43758                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T15:17:50.854  │43760                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-14T17:06:44.971  │43782                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-17T14:29:12.585  │43997                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-18T11:19:43.842  │44204                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-18T16:04:30.296  │44223                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-18T16:49:30.298  │44228                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-18T16:52:01.500  │44229                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-18T16:53:35.759  │44231                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-18T17:08:26.428  │44234                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-18T17:33:57.248  │44239                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-18T17:36:00.420  │44240                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-18T17:40:59.996  │44241                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-18T23:19:37.726  │44271                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-18T23:20:12.759  │44272                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-18T23:22:19.943  │44273                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-19T10:37:06.239  │44297                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-20T14:45:36.377  │44379                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T14:46:22.446  │44380                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-20T14:48:59.783  │44381                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T14:53:06.244  │44387                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T14:54:02.352  │44388                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T14:54:17.348  │44389                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T14:55:43.476  │44390                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T14:58:25.015  │44391                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T14:58:48.061  │44392                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T14:59:20.095  │44393                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T15:01:33.287  │44396                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T15:01:43.302  │44397                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-20T15:02:20.354  │44398                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T15:14:07.713  │44408                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T15:15:29.832  │44410                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T15:17:32.076  │44411                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T15:21:08.430  │44414                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T15:30:05.495  │44417                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-20T15:31:22.605  │44418                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-20T15:31:42.634  │44419                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-20T15:33:29.900  │44421                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-20T15:34:32.993  │44422                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-20T17:39:53.817  │44436                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T17:41:48.979  │44437                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-20T22:30:51.393  │44454                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T01:16:22.230  │44461                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T08:35:45.762  │44466                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T08:38:58.176  │44469                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T08:39:39.218  │44470                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T08:42:51.587  │44472                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T08:44:00.698  │44473                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T09:01:17.624  │44482                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T10:21:43.505  │44498                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T10:22:16.552  │44499                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T10:44:31.072  │44506                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-21T11:07:07.587  │44507                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-21T11:13:38.378  │44509                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-21T11:28:49.082  │44514                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-21T11:44:51.918  │44521                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-21T11:54:30.972  │44524                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-21T12:10:10.718  │44535                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T12:13:01.069  │44537                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T12:14:34.212  │44539                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T12:16:13.351  │44540                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T12:17:49.595  │44541                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T12:18:49.680  │44542                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T12:19:51.767  │44544                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T12:20:27.821  │44546                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T12:29:58.948  │44570                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T13:03:41.813  │44599                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T13:04:06.829  │44600                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T13:41:10.936  │44607                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T14:08:03.954  │44612                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T14:14:27.642  │44613                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T14:33:38.116  │44614                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T14:41:34.900  │44616                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-21T14:52:13.071  │44621                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T14:59:19.981  │44626                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T15:10:10.165  │44628                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-21T21:04:10.376  │44661                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-21T21:51:55.557  │44664                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-21T21:57:23.194  │44665                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T22:43:48.762  │44670                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T22:45:25.901  │44671                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T22:45:53.943  │44672                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-21T23:19:41.755  │44676                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-21T23:20:49.852  │44677                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-22T02:40:40.959  │44681                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-22T02:47:22.666  │44682                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-22T12:47:13.113  │44726                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T12:51:44.924  │44727                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-22T12:52:21.979  │44728                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T13:40:17.014  │44734                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T14:35:29.764  │44738                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-22T14:35:29.765  │44737                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-22T14:36:03.430  │44743                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-22T14:37:21.542  │44745                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-22T14:40:47.938  │44746                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-22T15:23:06.690  │44755                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-22T15:23:25.700  │44756                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-22T15:37:42.302  │44759                    │cpu01                    │ 22                       │ cpu-opteron             │
│2022-06-22T18:06:15.985  │44753                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T18:38:47.826  │44761                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:25:53.057  │44777                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:26:29.112  │44778                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:27:00.555  │44779                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:27:33.109  │44780                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:28:03.584  │44773                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T02:05:20.803  │44787                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T07:38:34.102  │44792                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T07:47:14.038  │44793                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T08:03:54.931  │44794                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T10:33:52.222  │44814                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T11:43:54.974  │44820                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T12:38:31.806  │44823                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-23T14:47:05.379  │44846                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T16:03:55.921  │44849                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-23T21:23:01.334  │44878                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T21:28:28.934  │44881                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T22:14:40.081  │44883                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T22:16:08.213  │44884                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T22:19:10.596  │44885                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T22:22:15.869  │44886                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T23:51:15.767  │44895                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T23:52:07.840  │44896                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T23:53:12.049  │44897                    │cpu01                    │ 1                        │ cpu-opteron             │
