┌─────────────────────────┬─────────────────────────┬─────────────────────────┬──────────────────────────┬─────────────────────────┐
│Time                     │JobId                    │Node List                │ CPU                      │ Partition               │
│─────────────────────────┼─────────────────────────┼─────────────────────────┼──────────────────────────┼─────────────────────────│
│2022-06-01T08:55:12.868  │42805                    │cpu04                    │ 64                       │ cpu-opteron             │
│2022-06-01T09:10:34.641  │42806                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T09:11:17.689  │42807                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T09:16:23.309  │42808                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T09:16:56.360  │42809                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:01:26.899  │42812                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:01:56.938  │42813                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:02:31.275  │42814                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:02:47.298  │42815                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:38:04.154  │42816                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:38:46.210  │42817                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:39:01.232  │42818                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:39:15.254  │42819                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-01T10:39:45.296  │42820                    │cpu01                    │ 3                        │ cpu-opteron             │
│2022-06-01T10:39:58.316  │42821                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T10:53:15.868  │42822                    │cpu03                    │ 1                        │ cpu-opteron             │
│2022-06-01T12:36:25.308  │42823                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T13:01:00.020  │42824                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-01T13:23:59.707  │42825                    │cpu03                    │ 1                        │ cpu-opteron             │
│2022-06-01T13:44:35.989  │42830                    │cpu03                    │ 1                        │ cpu-opteron             │
│2022-06-01T15:15:32.260  │42834                    │cpu03                    │ 4                        │ cpu-opteron             │
│2022-06-01T15:15:47.280  │42835                    │cpu03                    │ 4                        │ cpu-opteron             │
│2022-06-01T15:16:04.307  │42836                    │cpu03                    │ 4                        │ cpu-opteron             │
│2022-06-01T15:16:09.266  │42837                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-01T15:16:19.374  │42838                    │cpu10                    │ 16                       │ cpu-opteron             │
│2022-06-01T15:17:19.529  │42839                    │cpu03                    │ 4                        │ cpu-opteron             │
│2022-06-01T15:18:13.554  │42840                    │cpu03                    │ 4                        │ cpu-opteron             │
│2022-06-01T15:18:16.604  │42841                    │cpu03                    │ 4                        │ cpu-opteron             │
│2022-06-01T15:18:53.601  │42843                    │cpu03                    │ 4                        │ cpu-opteron             │
│2022-06-01T15:18:56.605  │42844                    │cpu01                    │ 16                       │ cpu-opteron             │
